"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 07 12:49:10 UTC 2026","Tue Apr 07 12:49:21 UTC 2026","10883","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","testContinueShoppingFromCart","Verify cart continue shopping button returns to products","User should be able to return to products page from cart using continue shopping button"
"passed","Tue Apr 07 12:46:08 UTC 2026","Tue Apr 07 12:47:42 UTC 2026","94149","","com.hasbyqa.tests.smoke.LoginSmokeTest","","com.hasbyqa.tests.smoke.LoginSmokeTest","testLoginWithLockedUser","Verify login fails for locked out user","Login should fail for locked out user with appropriate error message"
"passed","Tue Apr 07 12:50:05 UTC 2026","Tue Apr 07 12:50:22 UTC 2026","16453","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","testCheckoutWithAlternativeData","Verify checkout with alternative user data","Checkout should work with different user information"
"passed","Tue Apr 07 12:49:34 UTC 2026","Tue Apr 07 12:50:05 UTC 2026","30758","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","testSuccessfulCheckout","Verify successful checkout with valid information","User should be able to complete checkout with valid personal information"
"passed","Tue Apr 07 12:48:23 UTC 2026","Tue Apr 07 12:48:38 UTC 2026","15167","","com.hasbyqa.tests.smoke.LoginSmokeTest","","com.hasbyqa.tests.smoke.LoginSmokeTest","testLoginWithInvalidCredentials","Verify login fails with invalid credentials","Login should fail with invalid credentials and show error message"
"passed","Tue Apr 07 12:48:38 UTC 2026","Tue Apr 07 12:48:52 UTC 2026","13820","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","testProductInCart","Verify cart contains correct item after adding product","Cart should display the product that was added to it"
"passed","Tue Apr 07 12:47:58 UTC 2026","Tue Apr 07 12:48:13 UTC 2026","15210","","com.hasbyqa.tests.smoke.LoginSmokeTest","","com.hasbyqa.tests.smoke.LoginSmokeTest","testAddProductToCart","Verify product can be added to cart","User should be able to add a product to cart from products page"
"passed","Tue Apr 07 12:47:42 UTC 2026","Tue Apr 07 12:47:58 UTC 2026","15609","","com.hasbyqa.tests.smoke.LoginSmokeTest","","com.hasbyqa.tests.smoke.LoginSmokeTest","testProductsPageDisplay","Verify products page displays products after login","Products page should display all available products after successful login"
"passed","Tue Apr 07 12:48:13 UTC 2026","Tue Apr 07 12:48:22 UTC 2026","9583","","com.hasbyqa.tests.smoke.LoginSmokeTest","","com.hasbyqa.tests.smoke.LoginSmokeTest","testSuccessfulLogin","Verify successful login with valid credentials","User should be able to login with valid credentials and see products page"
"passed","Tue Apr 07 12:49:21 UTC 2026","Tue Apr 07 12:49:34 UTC 2026","13594","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","testCheckoutValidation","Verify checkout step one validates required fields","Checkout should fail if required fields are empty"
"passed","Tue Apr 07 12:48:52 UTC 2026","Tue Apr 07 12:49:10 UTC 2026","18307","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","","com.hasbyqa.tests.regression.CartCheckoutRegressionTest","testMultipleProductsInCart","Verify multiple products can be added to cart","User should be able to add multiple products to cart"
